1 -5 -5
2 1 1
3 3 1
4 -5 -5
5 -5 -5
6 3 4
7 5 4
8 4 1
9 4 4
10 -5 -5
11 3 4
12 -5 -5
13 5 3
14 4 1
15 1 1
16 2 4
17 4 3
18 2 1
19 -5 -5
20 3 4
21 5 4
22 5 1
23 -5 -5
24 -5 -5
25 2 3
26 -5 -5
27 3 1
28 4 -5
29 2 1
30 2 4
31 3 3
32 -5 -5
33 -5 -5
34 3 1
35 -5 -5
36 5 4
37 2 4
38 2 1
39 2 4
40 4 1
41 3 4
42 3 1
43 2 1
44 3 1
45 -5 -5
46 2 1
47 4 1
48 -5 -5
49 3 1
50 4 4
51 -5 -5
52 -5 -5
53 3 3
54 5 4
55 -5 -5
56 -5 -5
57 4 3
58 1 -5
59 5 3
60 5 -5
61 5 1
62 5 1
63 2 3
64 -5 -5
65 -5 -5
66 -5 1
67 -5 1
68 4 3
69 3 3
70 -5 1
71 2 -5
72 4 3
73 5 1
74 -5 -5
75 3 3
76 5 1
77 3 4
78 2 -5
79 4 1
80 2 4
81 2 -5
82 5 -5
83 1 1
84 5 1
85 2 3
86 2 3
87 2 3
88 1 2
89 5 1
90 3 4
91 -5 1
92 2 1
93 4 3
94 4 3
95 2 4
96 2 1
97 3 1
98 4 1
99 4 1
100 2 1
101 -5 -5
102 -5 1
103 2 4
104 2 -5
105 3 -5
106 2 1
107 4 1
108 4 4
109 -5 -5
110 3 1
111 3 4
112 -5 3
113 -5 -5
114 -5 -5
115 -5 -5
116 -5 -5
117 3 1
118 -5 -5
119 4 1
120 5 4
121 2 1
122 -5 4
123 -5 -5
124 2 4
125 5 2
126 3 3
127 -5 -5
128 4 1
129 4 1
130 -5 -5
131 -5 -5
132 -5 -5
133 5 4
134 -5 -5
135 5 1
136 3 1
137 2 1
138 2 4
139 2 3
140 4 1
141 4 3
142 4 -5
143 -5 -5
144 3 1
145 3 2
146 3 1
147 2 1
148 5 1
149 3 1
150 3 2
151 -5 -5
152 3 1
153 5 4
154 -5 -5
155 2 3
156 5 3
157 -5 3
158 3 1
159 2 -5
160 2 1
161 2 1
162 4 4
163 -5 -5
164 3 -5
165 3 4
166 3 3
167 2 1
168 -5 -5
169 -5 -5
170 5 -5
171 3 3
172 2 1
173 -5 -5
174 5 1
175 -5 -5
176 -5 -5
177 -5 -5
178 4 4
179 3 1
180 4 1
181 4 1
182 -5 -5
183 2 1
184 3 3
185 4 4
186 3 1
187 -5 -5
188 2 1
189 4 3
190 4 1
191 3 1
192 2 3
193 4 1
194 4 3
195 5 3
196 5 1
197 1 1
198 5 1
199 4 1
200 4 1
201 -5 3
202 2 1
203 -5 -5
204 2 -5
205 3 3
206 5 -5
207 3 1
208 -5 -5
209 4 -5
210 3 3
211 2 4
212 2 1
213 3 2
214 2 3
215 -5 -5
216 -5 -5
217 -5 -5
218 4 1
219 5 1
220 4 3
221 1 1
222 2 3
223 4 3
224 2 1
225 -5 -5
226 -5 -5
227 2 4
228 3 1
229 3 1
230 1 1
231 3 3
232 3 4
233 5 3
234 1 4
235 4 1
236 2 3
237 2 2
238 -5 -5
239 5 1
240 3 1
241 -5 -5
242 4 1
243 4 4
244 2 1
245 2 1
246 -5 -5
247 2 1
248 5 3
249 3 4
250 1 4
251 3 1
252 1 4
253 5 4
254 2 4
255 1 4
256 2 4
257 3 3
258 4 1
259 5 1
